sample	condition
IBN001	Resistant
IBN002	Resistant
IBN003	Resistant
IBN004	Resistant
IBN005	Sensitive
IBN006	Resistant
IBN007	Sensitive
IBN008	Sensitive
IBN009	Sensitive
IBN010	Sensitive
IBN011	Sensitive
IBN012	Sensitive
IBN013	Sensitive
IBN014	Resistant
IBN015	Resistant
RNA_Y10	Resistant
RNA_Y11	Sensitive
RNA_Y12	Resistant
RNA_Y13	Resistant
RNA_Y14	Resistant
RNA_Y15	Resistant
RNA_Y16	Sensitive
RNA_Y17	Resistant
RNA_Y18	Resistant
RNA_Y19	Resistant
RNA_Y1	Resistant
RNA_Y21	Resistant
RNA_Y22	Resistant
RNA_Y23	Resistant
RNA_Y2	Resistant
RNA_Y3	Resistant
RNA_Y4	Resistant
RNA_Y5	Resistant
RNA_Y6	Resistant
RNA_Y7	Resistant
RNA_Y8	Resistant
RNA_Y9	Resistant
MCL-10	Resistant
MCL-11	Resistant
MCL-12	Resistant
MCL-13	Resistant
MCL-14	Sensitive
MCL-15	Resistant
MCL-16	Sensitive
MCL-17	Sensitive
MCL-18	Sensitive
MCL-19	Sensitive
MCL-1	Sensitive
MCL-20	Sensitive
MCL-21	Sensitive
MCL-22	Resistant
MCL-23	Resistant
MCL-24	Resistant
MCL-2	Sensitive
MCL-3	Resistant
MCL-4	Resistant
MCL-5	Resistant
MCL-6	Resistant
MCL-7	Sensitive
MCL-8	Resistant
MCL-9	Resistant
